;Total;0 – 9;10 – 19;20 – 29;30 – 39;40 – 49;50 – 59;60 – 69;70 – 79;80 – 89;90 – 99;100 und älter
Ganze Stadt;443037;42430;34078;71511;92616;68163;52771;35600;25922;15579;4272;95
Kreis 1;5860;252;321;1193;1155;753;771;612;506;245;51;1
Kreis 2;37049;4474;3132;4573;7844;5854;4276;2841;2179;1401;456;19
Wollishofen;20570;2562;1559;2403;4399;3368;2323;1672;1215;795;262;12
Leimbach;6462;828;836;732;1036;935;779;534;421;283;76;2
Enge;10017;1084;737;1438;2409;1551;1174;635;543;323;118;5
Kreis 3;50582;4767;4230;7973;11457;8116;5911;3695;2539;1473;417;4
Alt-Wiedikon;18079;1653;1236;3191;4568;2874;2031;1182;800;436;107;1
Friesenberg;10861;1236;1676;1174;1204;1743;1543;1006;721;437;119;2
Sihlfeld;21642;1878;1318;3608;5685;3499;2337;1507;1018;600;191;1
Kreis 4;29672;1913;1325;6215;8197;4737;3456;2102;1150;472;103;2
Werd;4515;388;261;809;1308;736;483;303;154;62;10;1
Langstrasse;11977;497;280;2620;3811;1910;1507;810;384;136;22;
Hard;13180;1028;784;2786;3078;2091;1466;989;612;274;71;1
Kreis 5;15888;1215;832;2629;4364;2754;2108;1116;565;247;58;
Gewerbeschule;9663;620;555;1745;2556;1491;1332;737;388;187;52;
Escher Wyss;6225;595;277;884;1808;1263;776;379;177;60;6;
Kreis 6;35862;3381;2815;6454;7428;5343;4278;2765;2062;1068;260;8
Unterstrass;24953;2500;1947;4607;5333;3741;2862;1835;1298;658;169;3
Oberstrass;10909;881;868;1847;2095;1602;1416;930;764;410;91;5
Kreis 7;39301;3691;3419;4838;6139;5883;5391;3752;3323;2226;623;16
Fluntern;8946;903;883;1061;1208;1393;1260;889;762;485;102;
Hottingen;11422;1056;955;1573;1985;1746;1577;1066;839;494;126;5
Hirslanden;7531;610;529;1041;1447;1101;1038;684;552;365;158;6
Witikon;11402;1122;1052;1163;1499;1643;1516;1113;1170;882;237;5
Kreis 8;17814;1488;1166;2404;3855;2905;2376;1655;1181;628;150;6
Seefeld;5815;528;288;789;1409;1015;747;475;340;189;34;1
Mühlebach;6440;507;395;824;1411;1088;876;603;459;218;56;3
Weinegg;5559;453;483;791;1035;802;753;577;382;221;60;2
Kreis 9;58517;5803;4264;8387;12724;9315;6598;4777;3651;2355;633;10
Albisrieden;22875;2589;1722;2705;4581;3867;2543;1889;1601;1055;318;5
Altstetten;35642;3214;2542;5682;8143;5448;4055;2888;2050;1300;315;5
Kreis 10;41505;4130;3012;5862;8242;6556;5132;3544;2684;1781;547;15
Höngg;24807;2599;2041;3419;4134;3768;3083;2279;1857;1280;337;10
Wipkingen;16698;1531;971;2443;4108;2788;2049;1265;827;501;210;5
Kreis 11;78034;7730;6336;15138;15387;11371;8734;6000;4156;2536;637;9
Affoltern;26935;3019;2618;4821;4407;3927;3089;2250;1617;976;208;3
Oerlikon;24119;1940;1593;5510;5543;3355;2540;1638;1043;727;227;3
Seebach;26980;2771;2125;4807;5437;4089;3105;2112;1496;833;202;3
Kreis 12;32953;3586;3226;5845;5824;4576;3740;2741;1926;1147;337;5
Saatlen;8826;1091;1214;1412;1457;1289;1024;628;460;200;50;1
Schwamendingen-Mitte;11207;1015;827;2260;2096;1502;1229;1033;671;438;133;3
Hirzenbach;12920;1480;1185;2173;2271;1785;1487;1080;795;509;154;1
